geohash,hour_of_day,day_of_week,weekend,num_orders
4jwk2k,21,2,0,1
4nrezv,20,1,0,1
4nrv0u,21,2,0,1
4nxc9x,20,4,0,1
4nxc9y,21,3,0,1
4nxcc8,12,2,0,1
4nxcc8,13,3,0,1
4nxcc8,13,5,1,1
4nxcc8,13,6,1,2
4nxcc8,14,0,0,1
4nxcc8,14,5,1,2
4nxcc8,15,5,1,1
4nxcc8,18,3,0,1
4nxcc8,18,5,1,1
4nxcc8,18,6,1,2
4nxcc8,19,6,1,1
4nxcc8,20,5,1,1
4nxcc8,21,4,0,3
4nxcc8,21,5,1,3
4nxcc8,22,5,1,1
4nxcc8,23,4,0,1
4nxcc9,16,6,1,2
4nxcc9,20,2,0,2
4nxcc9,22,5,1,1
4nxccb,12,3,0,1
4nxccb,13,0,0,1
4nxccb,19,6,1,1
4nxccb,22,4,0,1
4nxccc,9,6,1,1
4nxccc,10,0,0,1
4nxccc,10,5,1,1
4nxccc,10,6,1,1
4nxccc,11,1,0,1
4nxccc,11,2,0,1
4nxccc,11,4,0,1
4nxccc,11,5,1,1
4nxccc,11,6,1,2
4nxccc,12,1,0,4
4nxccc,12,2,0,2
4nxccc,12,3,0,1
4nxccc,12,4,0,4
4nxccc,12,6,1,1
4nxccc,13,0,0,3
4nxccc,13,1,0,4
4nxccc,13,2,0,1
4nxccc,13,3,0,5
4nxccc,13,4,0,2
4nxccc,13,5,1,6
4nxccc,13,6,1,12
4nxccc,14,0,0,5
4nxccc,14,1,0,3
4nxccc,14,2,0,1
4nxccc,14,3,0,2
4nxccc,14,4,0,1
4nxccc,14,5,1,3
4nxccc,14,6,1,2
4nxccc,15,0,0,6
4nxccc,15,1,0,2
4nxccc,15,2,0,1
4nxccc,15,3,0,1
4nxccc,15,4,0,1
4nxccc,15,5,1,1
4nxccc,15,6,1,2
4nxccc,16,0,0,1
4nxccc,16,1,0,4
4nxccc,16,5,1,1
4nxccc,16,6,1,1
4nxccc,17,1,0,1
4nxccc,17,2,0,4
4nxccc,17,5,1,1
4nxccc,17,6,1,1
4nxccc,18,0,0,2
4nxccc,18,2,0,1
4nxccc,18,5,1,4
4nxccc,18,6,1,1
4nxccc,19,1,0,1
4nxccc,19,2,0,2
4nxccc,19,4,0,2
4nxccc,19,5,1,1
4nxccc,20,0,0,1
4nxccc,20,2,0,5
4nxccc,20,3,0,1
4nxccc,20,4,0,1
4nxccc,20,5,1,2
4nxccc,20,6,1,2
4nxccc,21,0,0,1
4nxccc,21,1,0,3
4nxccc,21,2,0,3
4nxccc,21,3,0,1
4nxccc,21,6,1,5
4nxccc,22,0,0,1
4nxccc,22,1,0,1
4nxccc,22,2,0,1
4nxccc,22,3,0,2
4nxccc,22,4,0,1
4nxccc,22,5,1,2
4nxccc,22,6,1,4
4nxccc,23,2,0,2
4nxccd,14,1,0,1
4nxccf,9,1,0,2
4nxccf,9,3,0,1
4nxccf,9,4,0,2
4nxccf,9,5,1,3
4nxccf,9,6,1,7
4nxccf,10,0,0,1
4nxccf,10,1,0,3
4nxccf,10,3,0,2
4nxccf,10,4,0,3
4nxccf,10,5,1,2
4nxccf,11,0,0,2
4nxccf,11,3,0,3
4nxccf,11,4,0,1
4nxccf,11,5,1,2
4nxccf,11,6,1,7
4nxccf,12,0,0,2
4nxccf,12,1,0,1
4nxccf,12,2,0,2
4nxccf,12,3,0,4
4nxccf,12,5,1,4
4nxccf,12,6,1,1
4nxccf,13,0,0,2
4nxccf,13,1,0,3
4nxccf,13,2,0,7
4nxccf,13,3,0,3
4nxccf,13,4,0,2
4nxccf,13,5,1,3
4nxccf,13,6,1,3
4nxccf,14,0,0,5
4nxccf,14,1,0,2
4nxccf,14,2,0,1
4nxccf,14,3,0,3
4nxccf,14,4,0,3
4nxccf,14,5,1,5
4nxccf,14,6,1,4
4nxccf,15,0,0,3
4nxccf,15,2,0,2
4nxccf,15,3,0,3
4nxccf,15,4,0,1
4nxccf,16,0,0,3
4nxccf,16,2,0,1
4nxccf,16,3,0,3
4nxccf,16,4,0,3
4nxccf,16,5,1,1
4nxccf,16,6,1,1
4nxccf,17,0,0,2
4nxccf,17,1,0,1
4nxccf,17,3,0,3
4nxccf,17,6,1,1
4nxccf,18,0,0,2
4nxccf,18,1,0,4
4nxccf,18,2,0,4
4nxccf,18,3,0,2
4nxccf,18,4,0,1
4nxccf,18,5,1,2
4nxccf,18,6,1,1
4nxccf,19,0,0,9
4nxccf,19,1,0,5
4nxccf,19,2,0,5
4nxccf,19,3,0,8
4nxccf,19,4,0,10
4nxccf,19,5,1,9
4nxccf,19,6,1,9
4nxccf,20,0,0,9
4nxccf,20,1,0,2
4nxccf,20,2,0,8
4nxccf,20,3,0,5
4nxccf,20,4,0,6
4nxccf,20,5,1,8
4nxccf,20,6,1,5
4nxccf,21,0,0,7
4nxccf,21,1,0,3
4nxccf,21,2,0,9
4nxccf,21,3,0,10
4nxccf,21,4,0,11
4nxccf,21,5,1,12
4nxccf,21,6,1,7
4nxccf,22,0,0,2
4nxccf,22,1,0,4
4nxccf,22,2,0,5
4nxccf,22,3,0,7
4nxccf,22,4,0,9
4nxccf,22,5,1,10
4nxccf,22,6,1,6
4nxccf,23,0,0,1
4nxccf,23,1,0,1
4nxccf,23,3,0,3
4nxccf,23,4,0,1
4nxccf,23,5,1,2
4nxccf,23,6,1,1
4nxccg,9,0,0,1
4nxccg,10,1,0,1
4nxccg,10,6,1,1
4nxccg,11,0,0,1
4nxccg,11,2,0,1
4nxccg,11,5,1,1
4nxccg,11,6,1,1
4nxccg,12,1,0,2
4nxccg,12,2,0,1
4nxccg,12,5,1,1
4nxccg,12,6,1,3
4nxccg,13,0,0,1
4nxccg,13,1,0,3
4nxccg,13,3,0,8
4nxccg,13,4,0,1
4nxccg,13,5,1,1
4nxccg,13,6,1,4
4nxccg,14,0,0,2
4nxccg,14,1,0,3
4nxccg,14,3,0,3
4nxccg,14,4,0,2
4nxccg,14,5,1,3
4nxccg,14,6,1,2
4nxccg,15,4,0,1
4nxccg,15,5,1,5
4nxccg,15,6,1,1
4nxccg,17,1,0,1
4nxccg,17,5,1,4
4nxccg,17,6,1,1
4nxccg,18,0,0,1
4nxccg,18,1,0,1
4nxccg,19,0,0,1
4nxccg,19,1,0,2
4nxccg,19,2,0,1
4nxccg,19,3,0,2
4nxccg,19,4,0,2
4nxccg,19,6,1,1
4nxccg,20,2,0,4
4nxccg,20,3,0,1
4nxccg,20,4,0,1
4nxccg,20,5,1,12
4nxccg,20,6,1,4
4nxccg,21,0,0,5
4nxccg,21,2,0,1
4nxccg,21,3,0,1
4nxccg,21,4,0,2
4nxccg,21,5,1,4
4nxccg,21,6,1,4
4nxccg,22,0,0,1
4nxccg,22,1,0,1
4nxccg,22,3,0,2
4nxccg,22,4,0,8
4nxccg,23,0,0,1
4nxccg,23,2,0,1
4nxccu,12,0,0,1
4nxccu,12,4,0,1
4nxccu,12,5,1,1
4nxccu,12,6,1,2
4nxccu,13,0,0,1
4nxccu,13,5,1,1
4nxccu,14,2,0,3
4nxccu,14,4,0,2
4nxccu,14,5,1,1
4nxccu,14,6,1,3
4nxccu,15,6,1,3
4nxccu,17,0,0,1
4nxccu,17,1,0,2
4nxccu,19,1,0,2
4nxccu,20,1,0,3
4nxccu,20,2,0,1
4nxccu,20,4,0,1
4nxccu,20,5,1,1
4nxccu,20,6,1,2
4nxccu,21,0,0,1
4nxccu,21,1,0,1
4nxccu,21,5,1,1
4nxccu,22,3,0,3
4nxccu,22,5,1,1
